,도로명전체주소,사업장명
1422921,"경기도 광명시 양지로 11, 유-플래닛 광명역 유-스트리트몰 에이-1동 에이120호 (일직동)",박프로치킨강정
1423421,"경기도 광명시 금하로 529, 비엔팰리스 105호 (소하동)",우리할매떡볶이광명소하점
1424086,"경기도 광명시 일직로12번길 11, 서현빌딩 1층 일부호 (일직동)",양곱을피우다
1424109,"경기도 광명시 밤일로 3, 1층 일부호 (하안동)",신의주찹쌀순대밤일사거리점
1424936,"경기도 광명시 소하일로52번길 12, 102호 (소하동)",부여댁어죽어탕
1426068,"경기도 광명시 일직로 28, 광명트리플타워 103호 (일직동)",프랭크버거광명역점
1426415,"경기도 광명시 하안로287번길 17, 영보빌딩 3층 일부호 (하안동)",샤브향기
1426416,"경기도 광명시 소하일로52번길 16, 102호 (소하동)",더보일링쉬림프광명점
1426739,"경기도 광명시 철망산로 87, 세이브존 지하1층 일부호 (철산동)",동키스돈까스
1426744,"경기도 광명시 오리로 835, 철산센트럴푸르지오상가 102호 일부호 (철산동)",서오릉피자철산점
1427712,"경기도 광명시 광이로13번길 21-5, 1층 (광명동)",명동식당
1427830,"경기도 광명시 신촌로5번길 1-4, 104호 (소하동)",스시노렌광명점
1428404,"경기도 광명시 범안로 1045, 제일프라자 2층 203호,204호 (하안동)",풍미마라탕훠궈
1428603,"경기도 광명시 안재로1번안길 19, 1층 102호 (하안동)",믿음식탁
1429042,"경기도 광명시 오리로 649, 경일빌딩 1층 101호 (하안동)",아구구본점
1430042,"경기도 광명시 일직로 22, 광명역 효성 해링턴타워 The First 1층 128호 (일직동)",송주불냉면칼국수
1430311,"경기도 광명시 오리로366번길 23, 105동 B01호일부호 (소하동, 명지타운)",소하닭도리탕
1431601,"경기도 광명시 범안로 998, 108호 (하안동)",고기의진수
1431681,"경기도 광명시 오리로 928, GM퍼스트 102호 (광명동)",한솥도시락광명3동점
1432555,"경기도 광명시 목감로268번길 25, 1층 전체호 (광명동)",경선식당
1432614,"경기도 광명시 광이로13번길 17, 1층 (광명동)",일성분식
1432928,"경기도 광명시 광명로918번길 11-1, 1층 일부호호 (광명동)",진미김밥
1432929,"경기도 광명시 광명역로 26, 상가동 138,139호 (일직동, 광명역파크자이)",별의별초밥
1432930,"경기도 광명시 오리로964번길 21-1, 1층 일부호 (광명동)",경미네전집
1433613,"경기도 광명시 오리로651번길 6, 지하층 3호 일부, 4호 전체호 (하안동)",소림타운광명점
1433614,"경기도 광명시 하안로 315, 한일빌딩 지하층 14,15호 (하안동)",닭발신호탄
1433615,"경기도 광명시 오리로984번길 64, 1층 (광명동)",자연밥상
1433745,"경기도 광명시 오리로984번길 45-1, 1층 일부호 (광명동)",매우당
1434189,"경기도 광명시 안재로2번길 23-1, 101호 (하안동)",오닭꼬치
1434190,"경기도 광명시 오리로 835, 철산센트럴푸르지오 상가 1층 108일부호 (철산동)",방긋크랩패밀리
1434307,"경기도 광명시 일직로12번길 24, 111호 (일직동)",원조부안집광명역점
1434308,"경기도 광명시 소하로92번길 6-9, 201호 (소하동)",더맛있는한우
1434526,"경기도 광명시 광명로831번길 20, 우성빌딩 1층 2호 (광명동)",수스테이크
1434783,"경기도 광명시 오리로 346, 행운드림프라자 110호 (소하동)",죽이야기광명소하점
1434993,"경기도 광명시 일직로 79, 산타마리아 B동 108호 (일직동)",포플러스
1434994,"경기도 광명시 광이로13번길 5, 1층일부호 (광명동)",퀸스피자
1436274,"경기도 광명시 양지로 11, 유-플래닛 광명역 유-스트리트몰 에이-1동 에이109,110호 (일직동)",고기생각85-6
1436275,"경기도 광명시 일직로12번길 19, 동일센타시아 109호 (일직동)",냉삼쌀롱
1436312,"경기도 광명시 새빛공원로 67, 광명자이타워 A동 220~226호, B동 218,219호 (일직동)",회와초
1436313,"경기도 광명시 도덕로 6, 101,102호 (광명동, 대왕하이츠빌라)",산들래
1436384,"경기도 광명시 시청로 99, 1층 (일부)호 (철산동)",갈비가게
1436385,"경기도 광명시 범안로 1050, 성보빌딩 106-2호 (하안동)",장호덕손만두광명하안점
1436386,"경기도 광명시 오리로 282-43, 1층 일부호 (일직동)",용천원두막
1436589,"경기도 광명시 하안로288번길 6, 뉴코리아나빌딩 1층 (101)호 (하안동)",빨간자전거하안직영점
1436590,"경기도 광명시 연서로 9, 1층 3호 (철산동)",제이와이푸드
1437939,"경기도 광명시 안현로 19, 하안주공1단지종합상가 126호 (하안동)",참맛있는 장왕족발
1438138,"경기도 광명시 가림일로 23, 5단지 종합상가 1층 102호 (하안동)",파티르네
1438139,"경기도 광명시 광명로893번길 10-1, 대영빌딩 2층 (광명동)",주안상
1438140,"경기도 광명시 일직로12번길 11, 서현빌딩 105호 (일직동)",한솥도시락광명일직점
1438556,"경기도 광명시 광명로832번길 17, 1층~2층 전체호 (광명동)",정상회담
1438557,"경기도 광명시 양지로 19, 어반브릭스B동 3층 338호 (일직동)",카페스누
1438901,"경기도 광명시 오리로 929, 민주빌딩 지하1층 일부호 (광명동)",오디션스타라이브
1438902,"경기도 광명시 일직로 72, 광명무역센터 B동 1층 103호 (일직동)",푸라닭광명역점
1438903,"경기도 광명시 하안로287번길 8, 뉴코아아울렛 1층 (하안동)",어글리스토브광명뉴코아아울렛점
1439090,"경기도 광명시 소하로 94, 3층 (소하동)",스시메이진광명
1439984,"경기도 광명시 양달로10번길 5-7, 1층일부호 (일직동)",옛집
1440080,"경기도 광명시 신기로17번길 6, 106호 (일직동)",또막창
1440366,"경기도 광명시 일직로12번길 19, 동일센타시아 110,111,112호 (일직동)",오늘와인한잔광명역점
1441437,"경기도 광명시 범안로 1040, 1층 104호 (하안동)",내여자를부탁해
1441531,"경기도 광명시 양지로 11, 유-플래닛 광명역 유-스트리트몰 에이-1동 에이144,145호 (일직동)",누구나홀딱반한닭케이티엑스광명역점
1441991,"경기도 광명시 장절로 96-39, 1층 일부호 (노온사동)",샘터식당
1443056,"경기도 광명시 일직로 72, B동 106호 (일직동)",국밥쟁이
1443057,"경기도 광명시 일직로12번길 24, 109호 (일직동)",떡볶이참잘하는집떡참광명소하점
1444006,"경기도 광명시 기아로62번길 20-10, 1층 일부호 (소하동)",청년피자광명1호점
1444058,"경기도 광명시 충현로 4, 설악빌딩 104호 (소하동)",사계절
1444059,"경기도 광명시 하안로 108, 에이스 광명타워 1층 115호 (소하동)",푸라닭광명소하점
1444073,"경기도 광명시 하안로287번길 8, 뉴코아아울렛 1층 (일부)호 (하안동)",홍미당뉴코아아울렛광명점
1444074,"경기도 광명시 안재로14번길 23, 1(일부)층 (하안동)",와따족발보쌈
1444126,"경기도 광명시 밤일안로14번길 9, 1층,2(일부)층 (하안동)",최가네한우농장
1444349,"경기도 광명시 새터안로12번길 9, 103동 상가103, 104호 (광명동, 팰리스필2차)",옛맛1
1445370,"경기도 광명시 충현로4번길 10, 동곡빌딩 C동 201호 (소하동)",마을회관
1445371,"경기도 광명시 일직로 22, 광명역 효성 해링턴타워 The First 116호 (일직동)",화레무광명역점
1445391,"경기도 광명시 광복로 50, 1층 일부호 (철산동)",돈돼지맛돼지
1446176,"경기도 광명시 양지로 11, 유-플래닛 광명역 유-스트리트몰 에이-1동 에이134호 (일직동)",종가삼막칡냉면
1446605,"경기도 광명시 새빛공원로 67, 광명역자이타워 A동 125호 (일직동)",카페시리스
1447038,"경기도 광명시 신기로17번길 11, 센트럴스퀘어 104호 (일직동)",오유미당광명케이티엑스점
1447039,"경기도 광명시 오리로856번길 12, 세영빌딩 4층 (철산동)",히어로보드게임카페철산점
1447584,"경기도 광명시 소하로109번길 20, 106,107호 (소하동)",동백연가소하점
1447880,"경기도 광명시 오리로 843, 2층 일부호 (철산동)",카츠백(광명점)
1447881,"경기도 광명시 소하로92번길 6-9, 뉴골드프라자 101,102호 (소하동)",교촌치킨소하2호점
1448229,"경기도 광명시 일직로 17, 롯데아울렛 5층 일부호 (일직동)",도쿄이찌바
1448373,"경기도 광명시 양달로20번길 3, 진광빌딩 103호 (일직동)",형님부엌
1448374,"경기도 광명시 오리로 649, 경일빌딩 1층 102호 (하안동)",돈카츠마켙광명하안점
1448709,"경기도 광명시 밤일로 38, 1층, 3층 (하안동)",빵명장
1448710,"경기도 광명시 밤일로 38, 2층 (하안동)",맘마롱
1448711,"경기도 광명시 새빛공원로 67, 자이타워 C동 213,214호 (일직동)",포베이광명역점
1449028,"경기도 광명시 신기로17번길 11, 센트럴스퀘어 103호 (일직동)",이차돌광명일직점
1449269,"경기도 광명시 일직로12번길 22, 라까사타워 6층(일부),7층 (일직동)",라까사키친
1449871,"경기도 광명시 도덕공원로 59, 상가동 106호 (철산동, 광명푸르지오아파트)",김쉐프
1451930,"경기도 광명시 밤일안로 35, 우석빌딩 1층 104~106호 (하안동)",밤일마을제주흑돈
1451985,"경기도 광명시 광명로848번길 54, 상가동 1층 101(일부)102,103호 (광명동, 중앙하이츠3차아파트)",태양마트식당
1452169,"경기도 광명시 광명로 924, 2층 (광명동)",은행나무갈매기
1452183,"경기도 광명시 오리로991번길 4, 101호 (광명동)",더록스
1452260,"경기도 광명시 오리로 984, 2층 (광명동)",쏘양앤맥군바람났네
1452568,"경기도 광명시 신기로 21, 페어필드바이메리어트서울광명 207호 (일직동)",팬브레드광명역점
1452647,"경기도 광명시 일직로12번길 21, SH&01 프라자 2층 204호 (일직동)",이바비오
1454741,경기도 광명시 일직로99번안길 7 (일직동),요거프레소 광명일직점
1454747,"경기도 광명시 오리로856번길 11, 201호 (철산동)",싸다돼지마을
1454925,경기도 광명시 가학로95번길 1 (가학동),가학골두루치기
1454985,"경기도 광명시 광명로 853, 1층 (광명동)",김민석왕족발보쌈
1455153,"경기도 광명시 철산로29번길 7, 동화빌딩 1층 103(일부)호 (철산동)",스너그로스터리
1455302,"경기도 광명시 철산로 15, 2층 (철산동)",콩두
1455303,"경기도 광명시 오리로976번길 20 (광명동,1층)",오복식당
1455304,"경기도 광명시 오리로854번길 21 (철산동,2층 204호)",경양살롱
1455305,"경기도 광명시 광이로13번길 21, 1층 (광명동)",해주냉면
1455442,"경기도 광명시 새터로121번길 19, 1층 (광명동)",음악곱창집
1455443,"경기도 광명시 하안로287번길 11, 1층 (하안동)",진가네대구볼아구찜
1455444,"경기도 광명시 오리로949번길 7, 1층 (광명동)",오프닝
